id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4364925,large & grand 2 bedroom South End by Copley Sq #3,9653086,Glenn,,Area 2/MIT,42.34128,-71.07607,Entire home/apt,165,33,143,2022-05-18,1.55,6,242,4,
54159310,"Sleek Downtown 1BR w/ W/D, Doorman, near...",107434423,Blueground,,East Cambridge,42.35891,-71.05415,Entire home/apt,206,32,0,,,324,305,0,
37310884,"Sunlit Beacon Hill 1BR w/ Pool, Gym, Doorman,...",107434423,Blueground,,East Cambridge,42.364968,-71.06887,Entire home/apt,194,32,0,,,324,322,0,
51320970,"1-31 Excellent Location, Walk Everywhere Sleeps 3",285344759,Bv,,Area 2/MIT,42.34749,-71.07009,Entire home/apt,154,3,26,2022-06-07,2.59,27,99,26,STR-415226
39352183,Airy North Station 1BR w/ W/D + Gym near Public...,107434423,Blueground,,East Cambridge,42.36477,-71.06314,Entire home/apt,217,32,0,,,324,307,0,
573397879029683911,(T7) NEW Cozy South End Studio!,331225367,Stone,,Area 2/MIT,42.34133,-71.0755,Entire home/apt,210,1,14,2022-06-18,4.08,62,62,14,Exempt: This listing is a unit that has contracts with hospitals
50341639,(T6) Boho South End Studio,331225367,Stone,,Area 2/MIT,42.34284,-71.07542,Entire home/apt,210,1,48,2022-06-19,3.89,62,220,47,STR-414387
46384812,"Charming North Station 1BR w/ Gym, W/D,...",107434423,Blueground,,East Cambridge,42.36477,-71.06314,Entire home/apt,239,32,1,2022-05-21,0.91,324,309,1,
27769361,Newly renovated Brookline 1bd Apartment,3124849,Jessica,,Cambridgeport,42.33795,-71.11977,Entire home/apt,179,5,85,2022-06-14,1.83,1,200,22,
13173203,North End 1 Bdrm -NEAR MGH- Boston's Little Italy,38997,Michelle,,East Cambridge,42.3665,-71.05428,Entire home/apt,135,29,39,2021-01-24,0.53,11,325,0,
4461901,"Stylish Downtown Studio in the SouthEnd, #8",22348222,Maverick,,Area 2/MIT,42.34447,-71.07644,Entire home/apt,243,1,135,2022-06-05,1.58,84,353,8,STR-415612
53232825,(104) Studio in Back Bay PRIME LOCATION,331225367,Stone,,Area 2/MIT,42.34546,-71.08016,Entire home/apt,199,1,36,2022-06-19,5.07,62,238,36,Exempt: This listing is a unit that has contracts with hospitals
46984660,504 Stay Tonight In Boston's Downtown!,183914990,Edmund,,East Cambridge,42.3555,-71.06127,Entire home/apt,150,2,49,2022-05-25,2.68,9,94,41,Exempt: This listing is a hotel or motel
612178312912696733,✤Private Deck✤Luxury Spacious Penthouse✤Sunny✤W/D✤,105384549,Laura,,East Cambridge,42.36039,-71.069,Entire home/apt,99,32,0,,,5,365,0,
53109651,(W11) Studio in Boston's South End,331225367,Stone,,Area 2/MIT,42.33952,-71.07766,Entire home/apt,194,1,14,2022-06-15,4.12,62,224,14,Exempt: This listing is a unit that has contracts with hospitals
39458299,Hip North End Studio w/ Gym + W/D + Doorman...,107434423,Blueground,,East Cambridge,42.364773,-71.063143,Entire home/apt,239,32,0,,,324,284,0,
48027391,Beautiful 2BR Near Subway | Downtown | 3D TOUR,212359760,Evonify,,Area 2/MIT,42.35313,-71.06378,Entire home/apt,330,1,55,2022-06-16,4.23,31,286,54,Exempt: This listing is a unit that has contracts with hospitals
636109865830955355,"Ellie 7- Trundle 2Twins, BACK BAY! Location!!!",331225367,Stone,,Area 2/MIT,42.34399,-71.08175,Entire home/apt,208,1,6,2022-06-17,6,62,45,6,Exempt: This listing is a unit that has contracts with hospitals
51557452,(W9) New South End Studio,331225367,Stone,,Area 2/MIT,42.33924,-71.07577,Entire home/apt,193,1,29,2022-06-16,3.25,62,247,29,Exempt: This listing is a unit that has contracts with hospitals
39456394,Crisp North Station 1BR w/ Gym + W/D near...,107434423,Blueground,,East Cambridge,42.36477,-71.06314,Entire home/apt,252,32,0,,,324,317,0,
53699018,"Lovely Spacious Beacon Hill 1BR w/Views, Gym by...",107434423,Blueground,,East Cambridge,42.36455,-71.06876,Entire home/apt,230,32,0,,,324,324,0,
45494260,Downtown Luxury | Students Welcome | W/D in unit,365116307,Brian + Heather,,East Cambridge,42.3573,-71.06183,Entire home/apt,869,2,89,2022-06-20,4.26,29,147,70,STR-438650
50245981,"Lil Italy, Freedom Trail, TD Garden, North End",459737493,Sarah,,East Cambridge,42.36729,-71.05723,Entire home/apt,99,1,0,,,3,30,0,Exempt: This listing is a unit used for furnished institutional or business stays
575197158772194981,Bright Studio in Gorgeous Brownstone,409684302,Justin And Mandy,,Area 2/MIT,42.34282,-71.07915,Entire home/apt,256,1,13,2022-06-17,3.79,36,335,13,STR-457097
6762011,"Heart of South End, Convenient, Comfy Studio #22",22348222,Maverick,,Area 2/MIT,42.34441,-71.07633,Entire home/apt,173,1,113,2022-06-05,1.64,84,342,9,LB-101763
47120014,Venn | Harvard Square | Fantastic Studio,277913848,Venn,,Mid-Cambridge,42.37623,-71.10515,Entire home/apt,210,5,20,2022-06-04,1.40,8,331,18,
602328498990797248,Affordable Cozy 2 bed room apt Beacon Hill Boston,373675137,Liya,,East Cambridge,42.36038,-71.06589,Entire home/apt,356,29,0,,,41,334,0,
5088560,Stunning SouthEnd/BackBay Penthouse,21609039,Susan,,Area 2/MIT,42.34041,-71.08384,Entire home/apt,500,29,100,2020-12-27,1.20,3,269,0,Exempt: This listing is a unit used for furnished institutional or business stays
53428804,Stylish Downtown 1BR w/ Luxury Amenities and...,107434423,Blueground,,Area 2/MIT,42.35119,-71.06402,Entire home/apt,213,32,0,,,324,310,0,
44073013,The Governor's Suite - The Coolidge Corner Guest House,96423949,Jessica & Shawn,,Cambridgeport,42.33917,-71.12012,Private room,349,1,12,2022-03-20,0.52,9,79,10,
53062424,2500 sqft artist condo steps from Copley/Back Bay,52569277,Minh,,Area 2/MIT,42.3469,-71.07439,Entire home/apt,650,3,8,2022-06-20,3.64,1,104,8,STR-475905
594797282646385297,Roomy Symphony 1BR w/ Doorman & Business...,107434423,Blueground,,Area 2/MIT,42.34449130000001,-71.086708,Entire home/apt,232,32,0,,,324,263,0,
49076821,Perfect Traveling Nurse Housing - Theatre District,275849638,Steven,,Area 2/MIT,42.35144,-71.0673,Entire home/apt,409,1,74,2022-06-08,5.51,36,218,71,STR-461738
40512451,"Perfect Spot, Affordable Studio! 143-33",285344759,Bv,,Area 2/MIT,42.34944,-71.07022,Private room,96,2,8,2022-06-06,0.26,27,116,3,LB-101723
4397829,Big Bedroom Queen Size in South End,22831609,Dwara,,Area 2/MIT,42.33728,-71.07917,Private room,55,1,15,2016-08-16,0.20,1,89,0,Exempt: This listing is a hotel or motel
7513605,"Stylish Downtown Studio in the SouthEnd, C.Ave# 2",22348222,Maverick,,Area 2/MIT,42.34447,-71.07644,Entire home/apt,195,1,182,2022-06-05,2.25,84,320,29,STR-415603
630262363709893096,"Sunny, beautiful 2 bedroom. Balcony, quiet area.",63910558,Alex,,West Cambridge,42.3462,-71.13826,Entire home/apt,429,3,0,,,1,7,0,STR-009456
619253446291935967,"Sunny Theatre District 1BR w/ Gym & W/D, near...",107434423,Blueground,,Area 2/MIT,42.3511858,-71.06401699999999,Entire home/apt,230,32,0,,,324,262,0,
