id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
220676,Private room off the Freedom Trail.,1144302,Howard,,North End,42.36614,-71.05226,Private room,152,3,261,2021-11-15,2.05,1,61,10,STR-396046
222081,SHRINE OF THE RED DIAMOND (توحيد - “DP”),742815,“Jon”,,Charlestown,42.38481,-71.08436,Shared room,22,91,101,2019-06-21,0.79,1,0,0,
257588,BOSTON LUXURY FOR LESS!! NEAR BCEC,1355344,Meri,,South Boston,42.33255,-71.04125,Entire home/apt,257,2,379,2022-03-03,3.22,1,180,41,STR-411297
315982,"Beautiful Townhouse, 2 BR & 2 Bath",119019,Hermina,,Dorchester,42.29871,-71.05954,Entire home/apt,209,1,114,2019-08-11,0.93,7,301,0,STR-457920
352585,Room in Sunny Brookline Apartment,1785210,Judith,,Allston,42.34749,-71.12403,Private room,95,2,110,2022-03-16,0.90,1,2,1,
370390,Your Room - 10 Min T Ride To Boston Center,1866924,David,,Charlestown,42.38333,-71.08296,Private room,44,31,137,2021-02-01,1.12,2,278,0,
377474,Beautiful Room in Beautiful Victorian House /A,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,59,10,26,2021-12-15,0.22,7,332,1,STR-457920
394462,Your Pad - 10 Min T Ride To Boston Center,1866924,David,,Charlestown,42.38319,-71.08297,Private room,46,31,72,2021-11-15,0.60,2,232,1,
447826,"Sweet Little House in JP, Boston",2053557,Hilary,,Jamaica Plain,42.31658,-71.11012,Private room,71,5,338,2022-03-07,2.85,1,217,25,STR-459697
496022,"Private Floor, Private Bath, City Location",1956464,Maria,,Jamaica Plain,42.31062,-71.1176,Private room,173,91,16,2016-06-26,0.15,1,0,0,
507525,"Great location, sunny 1-bedroom!",2501324,Guy,,Bay Village,42.34914,-71.06781,Entire home/apt,65,180,9,2013-07-01,0.08,1,0,0,
526970,BACK BAY/COPLEY FIRST FLOOR ROOM,85770,Robert,,South End,42.34491,-71.07368,Private room,148,29,175,2019-10-31,1.47,4,89,0,STR-410426
530983,14P · The Grand View Redline | 5BR 2BA | Victorian Home near Boston Medical and Mass General!,71783,Lance,,Dorchester,42.31368,-71.0612,Entire home/apt,179,30,67,2019-10-29,0.59,29,141,0,
